	Symbol	Entrez
ENSG00000040608	RTN4R	65078
ENSG00000040633	PHF23	79142
ENSG00000040731	CDH10	1008
ENSG00000040933	INPP4A	3631
ENSG00000041353	RAB27B	5874
ENSG00000041357	PSMA4	5685
ENSG00000041515	MYO16	23026
ENSG00000041802	LSG1	55341
ENSG00000041880	PARP3	10039
ENSG00000041982	TNC	3371
ENSG00000041988	THAP3	90326
ENSG00000042022	NA	NA
ENSG00000042062	FAM65C	140876
ENSG00000042088	TDP1	55775
ENSG00000042286	AIFM2	84883
ENSG00000042304	C2orf83	56918
ENSG00000042317	SPATA7	55812
ENSG00000042429	MED17	9440
ENSG00000042445	RETSAT	54884
ENSG00000042493	CAPG	822
ENSG00000042753	AP2S1	1175
ENSG00000042781	USH2A	7399
ENSG00000042813	ZPBP	11055
ENSG00000042832	TG	7038
ENSG00000042980	ADAM28	10863
ENSG00000043039	BARX2	8538
ENSG00000043093	DCUN1D1	54165
ENSG00000043143	JADE2	23338
ENSG00000043355	ZIC2	7546
ENSG00000043462	LCP2	3937
ENSG00000043514	TRIT1	54802
ENSG00000043591	ADRB1	153
ENSG00000043822	NA	NA
ENSG00000044012	GUCA2B	2981
ENSG00000044090	CUL7	9820
ENSG00000044115	CTNNA1	1495
ENSG00000044446	PHKA2	5256
ENSG00000044459	CNTLN	54875
ENSG00000044524	EPHA3	2042
ENSG00000044574	HSPA5	3309
ENSG00000046604	DSG2	1829
ENSG00000046647	GEMIN8	54960
ENSG00000046651	OFD1	8481
ENSG00000046653	GPM6B	2824
ENSG00000046774	MAGEC2	51438
ENSG00000046889	PREX2	80243
ENSG00000047056	WDR37	22884
ENSG00000047188	YTHDC2	64848
ENSG00000047230	CTPS2	56474
ENSG00000047249	ATP6V1H	51606
ENSG00000047315	POLR2B	5431
ENSG00000047346	FAM214A	56204
ENSG00000047365	ARAP2	116984
ENSG00000047410	TPR	7175
ENSG00000047457	CP	1356
ENSG00000047578	KIAA0556	23247
ENSG00000047579	DTNBP1	84062
ENSG00000047597	XK	7504
ENSG00000047617	ANO2	57101
ENSG00000047621	C12orf4	57102
ENSG00000047634	SCML1	6322
ENSG00000047644	WWC3	55841
ENSG00000047648	ARHGAP6	395
ENSG00000047662	FAM184B	27146
ENSG00000047849	MAP4	4134
ENSG00000047932	GOPC	57120
ENSG00000047936	ROS1	6098
ENSG00000048028	USP28	57646
ENSG00000048052	HDAC9	9734
ENSG00000048140	TSPAN17	26262
ENSG00000048162	NOP16	51491
ENSG00000048342	CC2D2A	57545
ENSG00000048392	RRM2B	50484
ENSG00000048405	ZNF800	168850
ENSG00000048462	TNFRSF17	608
ENSG00000048471	SNX29	92017
ENSG00000048540	LMO3	55885
ENSG00000048544	MRPS10	55173
ENSG00000048545	GUCA1A	2978
ENSG00000048649	RSF1	51773
ENSG00000048707	VPS13D	55187
ENSG00000048740	CELF2	10659
ENSG00000048828	FAM120A	23196
ENSG00000048991	R3HDM1	23518
ENSG00000049089	COL9A2	1298
ENSG00000049130	KITLG	4254
ENSG00000049167	ERCC8	1161
ENSG00000049192	ADAMTS6	11174
ENSG00000049239	H6PD	9563
ENSG00000049245	VAMP3	9341
ENSG00000049246	PER3	8863
ENSG00000049247	UTS2	10911
ENSG00000049249	TNFRSF9	3604
ENSG00000049283	EPN3	55040
ENSG00000049319	NA	NA
ENSG00000049323	LTBP1	4052
ENSG00000049449	RCN1	5954
ENSG00000049540	ELN	2006
ENSG00000049541	RFC2	5982
ENSG00000049618	ARID1B	57492
ENSG00000049656	CLPTM1L	81037
ENSG00000049759	NEDD4L	23327
ENSG00000049768	FOXP3	50943
ENSG00000049769	PPP1R3F	89801
ENSG00000049860	HEXB	3074
ENSG00000049883	PTCD2	79810
ENSG00000050030	KIAA2022	340533
ENSG00000050130	JKAMP	51528
ENSG00000050165	DKK3	27122
ENSG00000050327	ARHGEF5	7984
ENSG00000050344	NFE2L3	9603
ENSG00000050393	MCUR1	63933
ENSG00000050405	LIMA1	51474
ENSG00000050426	LETMD1	25875
ENSG00000050438	SLC4A8	9498
ENSG00000050555	LAMC3	10319
ENSG00000050628	PTGER3	5733
ENSG00000050730	TNIP3	79931
ENSG00000050748	MAPK9	5601
ENSG00000050767	COL23A1	91522
ENSG00000050820	BCAR1	9564
ENSG00000051009	FAM160A2	84067
ENSG00000051108	HERPUD1	9709
ENSG00000051128	HOMER3	9454
ENSG00000051180	RAD51	5888
ENSG00000051341	POLQ	10721
ENSG00000051382	PIK3CB	5291
ENSG00000051415	NA	NA
ENSG00000051523	CYBA	1535
ENSG00000051596	THOC3	84321
ENSG00000051620	HEBP2	23593
ENSG00000051825	MPHOSPH9	10198
ENSG00000052126	PLEKHA5	54477
ENSG00000052344	PRSS8	5652
ENSG00000052723	SIKE1	80143
ENSG00000052749	RRP12	23223
ENSG00000052795	FNIP2	57600
ENSG00000052802	MSMO1	6307
ENSG00000052841	TTC17	55761
ENSG00000052850	ALX4	60529
ENSG00000053108	FSTL4	23105
ENSG00000053254	FOXN3	1112
ENSG00000053328	METTL24	728464
ENSG00000053371	AKR7A2	8574
ENSG00000053372	MRTO4	51154
ENSG00000053438	NNAT	4826
ENSG00000053501	USE1	55850
ENSG00000053524	MCF2L2	23101
ENSG00000053702	NRIP2	83714
ENSG00000053747	LAMA3	3909
ENSG00000053770	AP5M1	55745
ENSG00000053900	ANAPC4	29945
ENSG00000053918	KCNQ1	3784
ENSG00000054116	TRAPPC3	27095
ENSG00000054118	THRAP3	9967
ENSG00000054148	PHPT1	29085
ENSG00000054179	ENTPD2	954
ENSG00000054219	LY75	4065
ENSG00000054267	ARID4B	51742
ENSG00000054277	OPN3	23596
ENSG00000054282	SDCCAG8	10806
ENSG00000054356	PTPRN	5798
ENSG00000054392	HHAT	55733
ENSG00000054523	KIF1B	23095
ENSG00000054598	FOXC1	2296
ENSG00000054611	TBC1D22A	25771
ENSG00000054654	SYNE2	23224
ENSG00000054690	PLEKHH1	57475
ENSG00000054793	ATP9A	10079
ENSG00000054796	SPO11	23626
ENSG00000054803	CBLN4	140689
ENSG00000054938	CHRDL2	25884
ENSG00000054965	FAM168A	23201
ENSG00000054967	RELT	84957
ENSG00000054983	GALC	2581
ENSG00000055044	NOP58	51602
ENSG00000055070	SZRD1	26099
ENSG00000055118	KCNH2	3757
ENSG00000055130	CUL1	8454
ENSG00000055147	FAM114A2	10827
ENSG00000055163	CYFIP2	26999
ENSG00000055208	TAB2	23118
ENSG00000055211	GINM1	116254
ENSG00000055332	EIF2AK2	5610
ENSG00000055483	USP36	57602
ENSG00000055609	KMT2C	58508
ENSG00000055732	MCOLN3	55283
ENSG00000055813	CCDC85A	114800
ENSG00000055917	PUM2	23369
ENSG00000055950	MRPL43	84545
ENSG00000055955	ITIH4	3700
ENSG00000055957	ITIH1	3697
ENSG00000056050	C4orf27	54969
ENSG00000056097	ZFR	51663
ENSG00000056277	ZNF280C	55609
ENSG00000056291	NPFFR2	10886
ENSG00000056345	NA	NA
ENSG00000056487	PHF21B	112885
ENSG00000056558	TRAF1	7185
ENSG00000056586	RC3H2	54542
ENSG00000056661	NA	NA
ENSG00000056678	KIFC1	3833
ENSG00000056736	IL17RB	55540
ENSG00000056972	TRAF3IP2	10758
ENSG00000056998	GYG2	8908
ENSG00000057019	DCBLD2	131566
ENSG00000057149	SERPINB3	6317
ENSG00000057252	SOAT1	6646
ENSG00000057294	PKP2	5318
ENSG00000057468	MSH4	4438
ENSG00000057593	F7	2155
ENSG00000057608	GDI2	2665
ENSG00000057657	PRDM1	639
ENSG00000057663	ATG5	9474
ENSG00000057704	TMCC3	57458
ENSG00000057757	PITHD1	57095
ENSG00000057935	MTA3	57504
ENSG00000058056	USP13	8975
ENSG00000058063	ATP11B	23200
ENSG00000058085	LAMC2	3918
ENSG00000058091	CDK14	5218
ENSG00000058262	SEC61A1	29927
ENSG00000058272	PPP1R12A	4659
ENSG00000058335	RASGRF1	5923
ENSG00000058404	CAMK2B	816
ENSG00000058453	CROCC	9696
ENSG00000058600	POLR3E	55718
ENSG00000058668	ATP2B4	493
ENSG00000058673	ZC3H11A	9877
ENSG00000058729	RIOK2	55781
ENSG00000058799	YIPF1	54432
ENSG00000058804	NDC1	55706
ENSG00000058866	DGKG	1608
ENSG00000059122	FLYWCH1	84256
ENSG00000059145	UNKL	64718
ENSG00000059377	TBXAS1	6916
